ID,Name,Concepticon_ID,Concepticon_Gloss,Proto_ID
hair,hair,1040,HAIR,"§105_oliveiraprotopanoan, 91_girardprotopanotakanan"
hairbody,hair (body),189,HAIR (BODY),§358_oliveiraprotopanoan
hairhead,hair (head),2648,HAIR (HEAD),88_girardprototakanan
half,half,816,HALF,
hammock,hammock,2019,HAMMOCK,
hand,hand,1277,HAND,"§239_oliveiraprotopanoan, 282_girardprototakanan, 70_girardprotopanotakanan"
colgar,hang up,357,HANG UP,36_girardprototakanan
felizalegrecontento,happy,1495,HAPPY,57_girardprototakanan
hard,hard,1884,HARD,§178_oliveiraprotopanoan
sombrero,hat,771,HAT,303_girardprototakanan
hawk,hawk,307,HAWK,
he,he,1211,HE,§42_oliveiraprotopanoan
3rdpersonpronoun,he or she or it,262,HE OR SHE OR IT,45_girardprotopanotakanan
head,head,1256,HEAD,"§108_oliveiraprotopanoan, 94_girardprototakanan"
headbelthat,headgear,2130,HEADGEAR,§209_oliveiraprotopanoan
tipheadwatersofriver,headwaters,2672,HEADWATERS,§361_oliveiraprotopanoan
hear,hear,1408,HEAR,"§147_oliveiraprotopanoan, §277_oliveiraprotopanoan"
heart,heart,1223,HEART,§301_oliveiraprotopanoan
heavy,heavy,1210,HEAVY,"§29_oliveiraprotopanoan, 68_girardprototakanan"
heel,heel,980,HEEL,
help,help,1897,HELP,97_girardprototakanan
here,here,136,HERE,
garza,heron,758,HERON,367_girardprototakanan
hiccoughtohiccup,hiccough,162,HICCOUGH,"§111_oliveiraprotopanoan, 118_girardprototakanan"
hideconceal,hide (conceal),602,HIDE (CONCEAL),§302_oliveiraprotopanoan
esconderse,hide (oneself),2485,HIDE (ONESELF),417_girardprototakanan
highortall,high or tall,2790,HIGH OR TALL,
hill,hill,614,HILL,"§202_oliveiraprotopanoan, 62_girardprotopanotakanan"
hisherofhimofher,his or her,2092,HIS OR HER,§54_oliveiraprotopanoan
hit,hit,1433,HIT,"§459_oliveiraprotopanoan, 177_girardprototakanan"
hole,hole,1667,HOLE,"§184_oliveiraprotopanoan, 54_girardprotopanotakanan"
honey,honey,942,HONEY,
gancho,hook,1071,HOOK,107_girardprototakanan
hornanatomy,horn (anatomy),1393,HORN (ANATOMY),"§230_oliveiraprotopanoan, 131_girardprototakanan"
hot,hot,1286,HOT,"§396_oliveiraprotopanoan, 229_girardprototakanan"
house,house,1252,HOUSE,"§424_oliveiraprotopanoan, 404_girardprototakanan"
how,how,1239,HOW,
guaribaspeciesofmonkeyhowlermonkey,howler monkey,433,HOWLER MONKEY,§372_oliveiraprotopanoan
hummingbird,hummingbird,1589,HUMMINGBIRD,"§330_oliveiraprotopanoan, 233_girardprototakanan"
hunger,hunger,1864,HUNGER,
hunt,hunt,1435,HUNT,
husband,husband,1200,HUSBAND,25_girardprototakanan
i,i,1209,I,"§11_oliveiraprotopanoan, 11_girardprotopanotakanan"
iguana,iguana,1578,IGUANA,351_girardprototakanan
adentroen,in,1460,IN,140_girardprototakanan
increase,increase,1041,INCREASE,
insect,insect,620,INSECT,§106_oliveiraprotopanoan
inside,inside,1606,INSIDE,§261_oliveiraprotopanoan
intestines,intestines,1991,INTESTINES,90_girardprotopanotakanan
isla,island,622,ISLAND,492_girardprototakanan
itchtoitch,itch,148,ITCH,§422_oliveiraprotopanoan
