ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy,Alignment,Morphemes,Dataset
tacana-friend-2,,tacana,friend,ata,ata,a t a,None,,6010,,,,5597,( - - ) a t a ( - - - - - - - - - - ),,girardprototakanan
cavinena-friend-3,,cavinena,friend,ata,ata,a t a,None,,6010,,,,5597,( - - ) a t a ( - - - - - - - - - - ),,girardprototakanan
cavinena-friend-4,,cavinena,friend,ata-ama,ata-ama,a t a + a m a,None,,6010,,,,5597,( - - ) a t a ( + - a - - - m a - - ),,girardprototakanan
cavinena-friend-5,,cavinena,friend,y-ata-nana,y-ata-nana,j + a t a + n a n a,None,,6010,,,,5597,( j + ) a t a ( + n a n a - - - - - ),,girardprototakanan
cavinena-friend-6,,cavinena,friend,ata-nana-ma,ata-nana-ma,a t a + n a n a + m a,None,,6010,,,,5597,( - - ) a t a ( + n a n a + m a - - ),,girardprototakanan
cavinena-friend-7,,cavinena,friend,ata-piisi,ata-piisi,a t a + p i i s i,None,,6010,,,,5597,( - - ) a t a ( + p i - i - - - s i ),,girardprototakanan
prototakana-bee-1,,prototakana,bee,atata,atata,a t a t a,None,,6011,,,,5598,a t a t a ( - - - - - ),,girardprototakanan
tacana-bee-2,,tacana,bee,atata,atata,a t a t a,None,,6011,,,,5598,a t a t a ( - - - - - ),,girardprototakanan
cavinena-bee-3,,cavinena,bee,atata-waha,atata-waha,a t a t a + w a h a,None,,6011,,,,5598,a t a t a ( + w a h a ),,girardprototakanan
prototakana-mundo-1,,prototakana,mundo,awa,awa,a w a,see also *uwa,,6012,,,,5599,( - - ) a w a ( - - - - - - - ),,girardprototakanan
tacana-mundo-1,,tacana,mundo,y-awa,y-awa,j + a w a,None,,6012,,,,5599,( j + ) a w a ( - - - - - - - ),,girardprototakanan
tacana-mundo-2,,tacana,mundo,e-awa-ni,e-awa-ni,e + a w a + n i,None,,6012,,,,5599,( e + ) a w a ( + n i - - - - ),,girardprototakanan
tacana-mundo-3,,tacana,mundo,e-awa-pamapa,e-awa-pamapa,e + a w a + p a m a p a,None,,6012,,,,5599,( e + ) a w a ( + p a m a p a ),,girardprototakanan
cavinena-mundo-1,,cavinena,mundo,y-awa,y-awa,j + a w a,None,,6012,,,,5599,( j + ) a w a ( - - - - - - - ),,girardprototakanan
prototakana-tapir-1,,prototakana,tapir,awada,awada,a w a d a,None,,6013,,,,4712,- a w a ( - ) d a,,girardprototakanan girardprotopanotakanan
